id_viaje,id_camion,latitud,longitud,velocidad_kmh,aceleracion_ms2,giros_bruscos,hora_dia,tipo_real
V00296,108,-2.55663,-78.869536,52.98,1.093,0,11.33,normal
V00297,101,-2.854687,-78.601003,35.14,0.921,2,16.77,normal
V00298,123,-2.570592,-78.855888,48.93,0.957,3,12.22,normal
V00299,122,-2.55123,-78.861133,53.25,0.612,3,7.75,normal
V00300,120,-2.500215,-78.838549,43.38,1.11,0,10.61,normal
V00301,122,-2.878459,-78.582859,39.98,1.635,0,16.82,normal
V00302,101,-2.549176,-78.845202,51.23,0.675,1,8.77,normal
V00303,127,-2.176329,-79.301608,,0.504,0,12.75,normal
V00304,112,-2.165503,-79.315519,97.46,0.277,1,11.82,normal
V00305,120,-2.871125,-78.598541,32.7,1.344,7,16.37,normal
V00306,115,-2.196768,-79.325768,78.83,0.333,0,13.29,normal
V00307,112,-2.210324,-79.287698,119.43,4.115,7,4.79,anomalia_temeraria
V00308,112,-2.545612,-78.841,47.58,1.43,2,8.75,normal
V00309,108,-2.220988,-79.270743,91.35,0.511,0,16.53,normal
V00310,119,-3.650782,-80.127863,23.87,0.363,4,3.04,anomalia_desvio
V00311,110,-2.219431,-79.283597,94.89,0.451,0,11.94,normal
V00312,111,-2.551423,-78.865227,43.7,0.67,4,6.78,normal
V00313,117,-2.225759,-79.312709,82.73,0.151,1,13.8,normal
V00314,104,-2.508592,-78.840871,49.54,0.14,0,8.27,normal
V00315,111,-2.540606,-78.871626,49.62,0.817,3,6.63,normal
V00316,102,-2.568129,-78.862466,49.44,0.813,2,9.95,normal
V00317,121,-2.902811,-78.579843,35.47,1.26,4,20.25,normal
V00318,123,-2.201229,-79.294728,91.29,0.397,1,12.53,normal
V00319,128,-2.568721,-78.876154,297.8,-4.307,0,20.03,ruido_sensor
V00320,101,-2.555909,-78.829774,281.62,0.707,2,15.16,ruido_sensor
V00321,111,-2.219304,-79.289821,89.72,0.463,1,16.21,normal
V00322,125,-2.559418,-78.832533,47.29,0.816,0,11.76,normal
V00323,123,-2.194511,-79.296716,99.43,0.609,0,16.82,normal
V00324,109,-2.196572,-79.25198,86.38,0.24,0,12.99,normal
V00325,108,-2.212859,-79.294223,91.61,0.514,0,15.84,normal
V00326,126,-2.197857,-79.276926,94.38,0.265,1,13.07,normal
V00327,111,-2.563086,-78.844466,60.08,0.714,0,9.9,normal
V00328,111,-2.910022,-78.603858,27.41,0.992,0,21.05,normal
V00329,106,-2.56637,-78.887403,47.91,0.937,1,7.95,normal
V00330,116,-2.553559,-78.86902,43.99,0.141,1,8.27,normal
V00331,120,-2.175804,-79.304363,85.13,0.579,0,12.69,normal
V00332,107,-2.215676,-79.269425,113.1,0.052,0,14.42,normal
V00333,126,-2.547773,-78.843907,,0.356,0,8.25,normal
V00334,119,-2.534741,-78.872472,47.64,1.176,1,11.8,normal
V00335,109,-2.928173,-78.609709,27.3,1.332,4,18.86,normal
V00336,124,-2.186222,-79.282372,98.3,0.107,1,13.4,normal
V00337,118,-2.931432,-78.567915,28.68,1.04,0,20.06,normal
V00338,110,-2.905751,-78.616395,32.86,1.409,4,21.56,normal
V00339,128,-2.910793,-78.617078,26.29,0.99,5,16.58,normal
V00340,129,-2.229466,-79.256571,93.49,0.48,0,12.69,normal
V00341,112,-2.586375,-78.826025,52.74,0.68,1,8.62,normal
V00342,103,-2.221734,-79.310019,100.73,0.451,0,13.71,normal
V00343,117,-2.542531,-78.858963,46.86,0.709,1,7.55,normal
V00344,105,-2.157716,-79.290986,95.05,0.347,0,16.5,normal
V00345,127,-2.864607,-78.5782,26.69,0.926,4,18.02,normal
V00346,112,-2.532333,-78.865576,47.92,0.797,1,5.54,normal
V00347,106,-2.191167,-79.282864,94.55,0.132,1,15.83,normal
V00348,110,-2.916431,-78.593956,35.56,1.416,1,15.39,normal
V00349,126,-2.199193,-79.313395,85.48,0.592,1,13.5,normal
V00350,123,-2.503444,-78.858849,46.77,1.145,2,9.86,normal
V00351,103,-2.582397,-78.88107,59.13,0.995,2,7.09,normal
V00352,104,-2.548243,-78.858146,51.06,0.783,0,7.46,normal
V00353,110,-2.554787,-78.877922,35.09,0.783,1,8.25,normal
V00354,117,-2.897231,-78.583619,31.32,0.775,3,15.9,normal
V00355,103,-2.886606,-78.609449,29.92,2.114,1,17.83,normal
V00356,108,-2.884493,-78.589794,27.97,1.31,1,21.96,normal
V00357,107,-2.870984,-78.595519,26.72,1.149,3,16.87,normal
V00358,116,-2.542227,-78.854643,50.15,0.798,0,7.05,normal
V00359,110,-2.574953,-78.867624,48.89,0.954,1,6.73,normal
V00360,111,-2.175945,-79.283649,91.02,0.376,0,15.83,normal
V00361,125,-2.896935,-78.581908,33.25,1.36,1,16.71,normal
V00362,116,-2.18189,-79.275182,96.71,0.434,0,13.49,normal
V00363,115,-2.532213,-78.835062,44.47,0.801,1,6.56,normal
V00364,105,-2.875918,-78.613618,25.83,1.111,8,19.67,normal
V00365,110,-2.573775,-78.820207,54.31,0.851,2,9.06,normal
V00366,120,-2.233733,-79.304152,76.7,0.316,2,14.04,normal
V00367,122,-2.23142,-79.270378,93.92,0.19,1,11.45,normal
V00368,123,-2.897341,-78.582041,34.34,1.475,3,21.24,normal
V00369,116,-3.558213,-80.10953,12.74,0.854,4,3.36,anomalia_desvio
V00370,110,-2.567538,-78.853341,237.0,2.351,1,23.14,ruido_sensor
V00371,103,-2.178504,-79.312183,76.57,0.766,0,16.1,normal
V00372,123,-2.534586,-78.8359,47.41,0.785,0,11.88,normal
V00373,129,-2.555474,-78.875614,49.82,0.945,2,8.92,normal
V00374,109,-2.550716,-78.847372,42.93,0.549,2,11.87,normal
V00375,105,-2.578253,-78.851251,46.47,0.612,2,8.32,normal
V00376,123,-2.874648,-78.558136,38.11,1.51,3,20.3,normal
V00377,111,-2.56287,-78.870849,45.27,0.403,3,10.36,normal
V00378,119,-2.871516,-78.601974,25.28,1.584,1,20.42,normal
V00379,114,-2.546752,-78.86859,53.9,0.677,1,10.94,normal
V00380,115,-2.91025,-78.608298,39.79,1.571,3,17.53,normal
V00381,124,-2.920317,-78.586091,27.11,1.519,1,15.79,normal
V00382,107,-2.887813,-78.609761,28.68,1.086,1,17.1,normal
V00383,124,-2.542414,-78.837362,47.57,0.692,1,5.6,normal
V00384,110,-2.537617,-78.807206,41.95,0.938,1,9.25,normal
V00385,116,-2.200621,-79.309368,97.16,0.425,2,12.69,normal
V00386,102,-2.55683,-78.839302,52.64,1.058,1,6.55,normal
V00387,109,-2.907233,-78.607753,24.52,-0.048,4,19.57,normal
V00388,118,-2.540126,-78.859749,43.4,0.875,1,9.51,normal
V00389,103,-2.235351,-79.306722,94.21,-0.126,1,12.5,normal
V00390,110,-2.210364,-79.307912,86.92,0.099,1,14.97,normal
V00391,115,-2.17393,-79.29855,100.36,0.57,2,10.14,normal
V00392,106,-2.521993,-78.830214,38.72,0.763,0,6.35,normal
V00393,103,-2.551136,-78.853935,43.25,0.613,2,10.31,normal
